LA date,LA pm25,LA o3,LA no2,LA co,NY date,NY pm25,NY o3,NY no2,NY co
12/31/2022,16,27,3,1,12/31/2022,65,21,15,2
12/30/2022,40,15,7,2,12/30/2022,85,7,33,8
12/29/2022,37,13,19,3,12/29/2022,70,8,43,7
12/28/2022,31,18,14,3,12/28/2022,58,5,40,4
12/27/2022,53,21,13,3,12/27/2022,53,13,30,3
12/26/2022,33,20,27,7,12/26/2022,48,18,21,2
12/25/2022,39,19,21,5,12/25/2022,45,19,15,2
12/24/2022,67,30,16,5,12/24/2022,46,18,12,1
12/23/2022,82,21,27,9,12/23/2022,42,17,9,1
12/22/2022,59,11,34,11,12/22/2022,29,28,7,1
12/21/2022,58,12,32,8,12/21/2022,44,24,20,4
12/20/2022,50,15,30,9,12/20/2022,24,8,25,3
12/19/2022,68,20,27,6,12/19/2022,31,17,13,1
12/18/2022,44,21,28,7,12/18/2022,33,14,13,2
12/17/2022,40,22,20,5,12/17/2022,32,17,12,2
12/16/2022,42,20,23,5,12/16/2022,44,17,11,3
12/15/2022,51,17,25,6,12/15/2022,25,23,10,1
12/14/2022,50,12,26,7,12/14/2022,34,22,17,2
12/13/2022,40,21,22,5,12/13/2022,38,21,13,1
12/12/2022,24,22,18,5,12/12/2022,31,16,16,2
12/11/2022,23,23,15,4,12/11/2022,27,16,12,1
12/10/2022,44,29,7,2,12/10/2022,29,17,11,2
12/9/2022,48,23,18,5,12/9/2022,26,18,12,1
12/8/2022,39,19,23,5,12/8/2022,24,20,10,1
12/7/2022,41,25,18,4,12/7/2022,45,15,11,2
12/6/2022,29,25,18,5,12/6/2022,52,20,23,6
12/5/2022,24,22,16,3,12/5/2022,52,26,25,4
12/4/2022,38,28,14,3,12/4/2022,30,14,31,6
12/3/2022,37,16,15,5,12/3/2022,33,22,13,2
12/2/2022,25,21,15,4,12/2/2022,36,17,16,2
12/1/2022,30,21,13,3,12/1/2022,38,13,23,4
11/30/2022,47,25,13,2,11/30/2022,34,17,10,2
11/29/2022,51,27,15,4,11/29/2022,34,22,18,3
11/28/2022,56,29,17,4,11/28/2022,31,11,21,2
11/27/2022,61,31,12,3,11/27/2022,44,19,9,2
11/26/2022,46,35,21,6,11/26/2022,27,16,18,6
11/25/2022,43,26,24,6,11/25/2022,41,23,11,3
11/24/2022,65,30,20,6,11/24/2022,48,24,14,3
11/23/2022,62,28,29,8,11/23/2022,56,24,21,3
11/22/2022,37,19,34,7,11/22/2022,52,21,27,5
11/21/2022,37,25,27,4,11/21/2022,31,14,29,4
11/20/2022,40,26,25,4,11/20/2022,33,14,19,3
11/19/2022,45,33,21,5,11/19/2022,38,21,11,2
11/18/2022,53,29,23,6,11/18/2022,42,17,13,2
11/17/2022,38,22,29,7,11/17/2022,38,18,14,2
11/16/2022,37,27,28,7,11/16/2022,NaN,15,14,2
11/15/2022,41,18,28,7,11/15/2022,21,14,NaN,NaN
11/14/2022,39,22,28,6,11/14/2022,28,19,18,1
11/13/2022,40,26,22,6,11/13/2022,27,23,9,1
11/12/2022,38,31,15,4,11/12/2022,41,14,5,1
11/11/2022,32,28,19,4,11/11/2022,41,24,7,1
11/10/2022,34,28,21,4,11/10/2022,43,100,21,4
11/9/2022,22,23,19,4,11/9/2022,26,15,28,3
11/8/2022,17,27,13,3,11/8/2022,23,18,14,2
11/7/2022,30,27,10,2,11/7/2022,26,22,7,1
11/6/2022,46,20,11,2,11/6/2022,39,31,9,1
11/5/2022,46,37,16,5,11/5/2022,30,22,9,2
11/4/2022,24,26,24,5,11/4/2022,47,24,10,1
11/3/2022,15,26,18,3,11/3/2022,49,17,26,4
11/2/2022,23,30,6,1,11/2/2022,44,23,25,3
11/1/2022,54,27,8,2,11/1/2022,40,28,20,3
10/31/2022,59,33,13,3,10/31/2022,50,13,16,2
10/30/2022,58,32,31,7,10/30/2022,63,17,28,4
10/29/2022,57,49,25,7,10/29/2022,36,18,26,4
10/28/2022,60,40,24,6,10/28/2022,32,20,20,3
10/27/2022,52,37,27,6,10/27/2022,23,16,12,2
10/26/2022,39,38,23,4,10/26/2022,29,23,7,1
10/25/2022,36,34,21,5,10/25/2022,50,18,15,1
10/24/2022,34,32,24,4,10/24/2022,29,10,15,3
10/23/2022,31,33,15,3,10/23/2022,38,18,9,2
10/22/2022,43,33,7,2,10/22/2022,55,25,13,3
10/21/2022,50,33,5,2,10/21/2022,45,28,31,3
10/20/2022,38,38,13,3,10/20/2022,26,18,27,3
10/19/2022,31,41,25,4,10/19/2022,26,21,14,2
10/18/2022,48,42,25,4,10/18/2022,33,13,12,2
10/17/2022,38,50,23,5,10/17/2022,41,17,9,2
10/16/2022,30,34,15,4,10/16/2022,44,25,21,3
10/15/2022,30,31,7,2,10/15/2022,46,21,13,2
10/14/2022,53,29,7,1,10/14/2022,32,33,16,3
10/13/2022,71,27,12,2,10/13/2022,28,26,14,2
10/12/2022,44,36,12,3,10/12/2022,42,30,14,1
10/11/2022,51,36,7,2,10/11/2022,52,37,16,2
10/10/2022,61,36,9,2,10/10/2022,41,25,24,3
10/9/2022,58,37,10,2,10/9/2022,33,27,20,2
10/8/2022,69,39,7,2,10/8/2022,20,27,13,2
10/7/2022,72,51,14,4,10/7/2022,46,20,4,1
10/6/2022,66,51,13,3,10/6/2022,35,40,19,2
10/5/2022,61,42,11,3,10/5/2022,27,32,12,2
10/4/2022,50,44,14,3,10/4/2022,24,11,9,1
10/3/2022,40,39,16,4,10/3/2022,17,14,8,1
10/2/2022,43,37,11,3,10/2/2022,19,17,6,1
10/1/2022,43,42,2,1,10/1/2022,21,20,3,1
9/30/2022,50,37,3,1,9/30/2022,21,16,5,1
9/29/2022,51,34,9,2,9/29/2022,17,19,7,1
9/28/2022,59,42,14,3,9/28/2022,18,20,7,1
9/27/2022,56,59,21,6,9/27/2022,24,20,7,1
9/26/2022,50,49,27,6,9/26/2022,25,21,9,1
9/25/2022,50,41,22,5,9/25/2022,30,26,10,1
9/24/2022,48,42,17,4,9/24/2022,17,28,12,2
9/23/2022,47,48,14,4,9/23/2022,10,23,6,1
9/22/2022,33,53,20,4,9/22/2022,33,24,4,1
9/21/2022,27,30,16,3,9/21/2022,27,26,11,2
9/20/2022,20,27,9,2,9/20/2022,30,36,9,2
9/19/2022,24,21,8,2,9/19/2022,51,25,7,1
9/18/2022,44,27,10,2,9/18/2022,40,40,13,2
9/17/2022,55,33,4,1,9/17/2022,21,41,10,2
9/16/2022,56,38,10,3,9/16/2022,21,40,5,1
9/15/2022,45,41,15,3,9/15/2022,24,26,15,2
9/14/2022,46,35,12,2,9/14/2022,29,25,6,1
9/13/2022,51,31,10,1,9/13/2022,27,29,8,1
9/12/2022,23,30,10,2,9/12/2022,33,33,14,2
9/11/2022,24,23,7,1,9/11/2022,30,8,13,2
9/10/2022,28,31,5,1,9/10/2022,40,19,11,2
9/9/2022,36,21,8,1,9/9/2022,35,33,12,2
9/8/2022,53,24,15,2,9/8/2022,25,28,13,2
9/7/2022,61,40,22,4,9/7/2022,19,30,11,1
9/6/2022,52,50,22,4,9/6/2022,30,22,7,1
9/5/2022,51,55,17,3,9/5/2022,45,24,13,2
9/4/2022,48,64,12,3,9/4/2022,36,40,9,2
9/3/2022,57,69,15,3,9/3/2022,23,40,9,2
9/2/2022,62,67,17,3,9/2/2022,16,32,9,2
9/1/2022,62,52,23,4,9/1/2022,29,31,7,1
8/31/2022,61,57,25,4,8/31/2022,26,35,7,1
8/30/2022,59,44,30,5,8/30/2022,25,29,6,1
8/29/2022,40,37,20,3,8/29/2022,40,26,8,1
8/28/2022,31,31,9,2,8/28/2022,40,32,9,1
8/27/2022,40,31,4,1,8/27/2022,52,35,4,1
8/26/2022,43,32,10,2,8/26/2022,58,45,7,2
8/25/2022,42,35,11,2,8/25/2022,42,34,20,2
8/24/2022,48,35,14,2,8/24/2022,37,42,10,1
8/23/2022,55,35,16,2,8/23/2022,34,35,7,1
8/22/2022,40,43,17,3,8/22/2022,28,41,10,1
8/21/2022,45,33,7,2,8/21/2022,31,23,11,2
8/20/2022,46,32,5,1,8/20/2022,49,34,6,1
8/19/2022,49,38,8,2,8/19/2022,45,42,10,2
8/18/2022,37,42,16,3,8/18/2022,39,47,11,2
8/17/2022,44,32,10,2,8/17/2022,29,33,11,1
8/16/2022,56,38,15,3,8/16/2022,26,26,10,1
8/15/2022,59,45,19,4,8/15/2022,25,33,8,1
8/14/2022,57,47,20,4,8/14/2022,NaN,48,12,1
8/13/2022,56,59,15,3,8/13/2022,15,NaN,NaN,NaN
8/12/2022,54,57,16,4,8/12/2022,21,98,3,1
8/11/2022,42,44,20,4,8/11/2022,38,22,3,1
8/10/2022,53,39,19,3,8/10/2022,24,48,10,1
8/9/2022,51,45,20,3,8/9/2022,41,40,7,1
8/8/2022,58,46,20,3,8/8/2022,35,42,8,1
8/7/2022,53,43,16,3,8/7/2022,26,40,11,1
8/6/2022,45,49,17,4,8/6/2022,29,30,6,1
8/5/2022,44,29,12,2,8/5/2022,44,49,10,2
8/4/2022,47,29,14,2,8/4/2022,51,50,14,2
8/3/2022,43,30,10,2,8/3/2022,37,56,NaN,2
8/2/2022,37,33,9,2,8/2/2022,41,46,NaN,2
8/1/2022,38,25,6,1,8/1/2022,34,43,25,2
7/31/2022,38,28,7,2,7/31/2022,24,31,13,3
7/30/2022,45,41,8,2,7/30/2022,23,36,7,2
7/29/2022,42,29,12,2,7/29/2022,41,28,4,1
7/28/2022,47,36,14,2,7/28/2022,46,35,9,1
7/27/2022,46,30,13,2,7/27/2022,33,48,14,2
7/26/2022,54,39,9,2,7/26/2022,26,56,13,2
7/25/2022,55,40,9,2,7/25/2022,67,36,NaN,1
7/24/2022,57,42,9,2,7/24/2022,59,33,NaN,2
7/23/2022,58,45,6,2,7/23/2022,58,50,NaN,2
7/22/2022,53,40,7,1,7/22/2022,51,58,NaN,2
7/21/2022,52,42,10,2,7/21/2022,53,50,NaN,2
7/20/2022,51,40,12,2,7/20/2022,NaN,51,NaN,2
7/19/2022,47,35,14,2,7/19/2022,38,61,NaN,NaN
7/18/2022,53,38,11,3,7/18/2022,40,39,5,1
7/17/2022,55,34,13,2,7/17/2022,33,28,17,3
7/16/2022,61,47,10,2,7/16/2022,34,44,11,2
7/15/2022,47,49,13,3,7/15/2022,25,48,6,2
7/14/2022,39,40,9,2,7/14/2022,22,39,7,1
7/13/2022,44,29,9,2,7/13/2022,28,46,6,1
7/12/2022,56,33,7,2,7/12/2022,30,54,7,1
7/11/2022,57,31,10,2,7/11/2022,19,56,10,1
7/10/2022,55,33,11,2,7/10/2022,21,45,9,1
7/9/2022,51,41,13,2,7/9/2022,23,35,5,1
7/8/2022,46,37,9,2,7/8/2022,27,34,8,2
7/7/2022,41,34,9,2,7/7/2022,10,36,18,3
7/6/2022,35,29,11,2,7/6/2022,19,31,6,1
7/5/2022,89,21,9,1,7/5/2022,53,35,5,1
7/4/2022,62,32,9,2,7/4/2022,38,40,15,2
7/3/2022,49,38,5,1,7/3/2022,29,35,7,1
7/2/2022,53,35,6,1,7/2/2022,28,45,5,1
7/1/2022,61,37,9,2,7/1/2022,43,60,6,3
6/30/2022,64,42,12,2,6/30/2022,34,48,14,2
6/29/2022,59,48,13,2,6/29/2022,30,50,12,2
6/28/2022,61,42,14,2,6/28/2022,19,31,18,3
6/27/2022,59,55,19,4,6/27/2022,34,22,9,1
6/26/2022,63,56,16,3,6/26/2022,39,50,13,2
6/25/2022,60,53,10,3,6/25/2022,45,52,11,4
6/24/2022,58,43,10,3,6/24/2022,38,38,11,3
6/23/2022,57,46,15,3,6/23/2022,21,33,16,3
6/22/2022,64,43,10,2,6/22/2022,23,40,10,1
6/21/2022,69,43,11,2,6/21/2022,49,37,16,1
6/20/2022,56,41,16,3,6/20/2022,25,31,21,3
6/19/2022,49,58,17,3,6/19/2022,9,25,6,2
6/18/2022,46,36,9,2,6/18/2022,9,27,2,NaN
6/17/2022,56,39,8,1,6/17/2022,30,40,1,1
6/16/2022,69,41,7,1,6/16/2022,12,24,9,2
6/15/2022,62,46,11,2,6/15/2022,23,37,10,1
6/14/2022,53,46,13,2,6/14/2022,16,35,12,1
6/13/2022,41,42,9,1,6/13/2022,37,51,7,1
6/12/2022,58,30,7,1,6/12/2022,26,37,10,3
6/11/2022,54,47,9,2,6/11/2022,28,32,9,3
6/10/2022,68,45,12,3,6/10/2022,16,33,11,3
6/9/2022,64,60,17,4,6/9/2022,14,37,5,1
6/8/2022,58,59,12,2,6/8/2022,21,44,8,1
6/7/2022,53,41,11,2,6/7/2022,17,30,9,2
6/6/2022,36,36,12,2,6/6/2022,26,45,8,2
6/5/2022,37,34,9,1,6/5/2022,14,42,14,4
6/4/2022,43,34,7,1,6/4/2022,31,45,6,1
6/3/2022,57,29,6,1,6/3/2022,29,33,13,2
6/2/2022,65,40,9,2,6/2/2022,23,31,12,2
6/1/2022,66,40,12,2,6/1/2022,16,22,14,2
5/31/2022,61,41,16,3,5/31/2022,39,42,8,1
5/30/2022,53,40,11,2,5/30/2022,46,47,7,2
5/29/2022,34,34,6,1,5/29/2022,23,38,14,3
5/28/2022,36,31,6,1,5/28/2022,17,29,6,1
5/27/2022,42,31,6,1,5/27/2022,23,21,7,1
5/26/2022,58,34,6,1,5/26/2022,17,27,10,2
5/25/2022,76,40,10,2,5/25/2022,13,25,10,1
5/24/2022,70,53,14,3,5/24/2022,13,24,10,1
5/23/2022,60,45,10,2,5/23/2022,12,29,11,1
5/22/2022,50,39,11,2,5/22/2022,54,43,4,1
5/21/2022,33,37,7,2,5/21/2022,53,54,12,3
5/20/2022,32,34,5,1,5/20/2022,38,25,15,4
5/19/2022,64,33,9,2,5/19/2022,29,24,NaN,3
5/18/2022,60,34,12,2,5/18/2022,15,34,NaN,2
5/17/2022,54,42,11,2,5/17/2022,16,36,NaN,1
5/16/2022,60,34,10,2,5/16/2022,36,32,NaN,1
5/15/2022,57,38,9,2,5/15/2022,9,27,NaN,3
5/14/2022,53,47,18,4,5/14/2022,13,20,11,2
5/13/2022,44,84,23,5,5/13/2022,16,16,14,3
5/12/2022,37,48,23,4,5/12/2022,22,29,11,2
5/11/2022,29,45,15,3,5/11/2022,44,37,13,2
5/10/2022,40,36,9,2,5/10/2022,31,39,13,2
5/9/2022,46,34,12,2,5/9/2022,22,41,7,1
5/8/2022,48,38,9,2,5/8/2022,22,31,7,1
5/7/2022,52,33,4,1,5/7/2022,24,36,4,1
5/6/2022,62,36,8,2,5/6/2022,29,33,8,1
5/5/2022,67,41,20,4,5/5/2022,26,32,NaN,3
5/4/2022,63,44,17,3,5/4/2022,49,19,NaN,2
5/3/2022,57,48,16,3,5/3/2022,28,30,12,2
5/2/2022,54,41,10,2,5/2/2022,41,28,8,1
5/1/2022,62,39,7,2,5/1/2022,38,40,17,2
4/30/2022,62,48,10,2,4/30/2022,25,35,16,2
4/29/2022,60,50,16,4,4/29/2022,23,36,9,1
4/28/2022,58,45,15,3,4/28/2022,19,35,7,1
4/27/2022,65,41,8,2,4/27/2022,18,26,5,1
4/26/2022,59,41,9,2,4/26/2022,36,24,5,1
4/25/2022,36,40,21,3,4/25/2022,25,27,NaN,2
4/24/2022,34,49,18,3,4/24/2022,28,36,NaN,2
4/23/2022,45,44,12,3,4/23/2022,21,31,NaN,2
4/22/2022,31,38,14,3,4/22/2022,27,34,NaN,2
4/21/2022,25,35,5,1,4/21/2022,35,32,NaN,2
4/20/2022,36,30,10,2,4/20/2022,32,29,NaN,3
4/19/2022,42,34,7,1,4/19/2022,21,26,NaN,2
4/18/2022,49,29,11,2,4/18/2022,9,24,NaN,1
4/17/2022,36,40,15,3,4/17/2022,10,27,NaN,1
4/16/2022,29,35,5,1,4/16/2022,16,37,NaN,1
4/15/2022,45,26,4,1,4/15/2022,13,39,NaN,2
4/14/2022,48,36,12,2,4/14/2022,44,30,NaN,2
4/13/2022,35,42,15,3,4/13/2022,43,38,NaN,4
4/12/2022,26,40,12,2,4/12/2022,33,36,NaN,6
4/11/2022,57,39,3,1,4/11/2022,30,24,NaN,4
4/10/2022,70,35,6,1,4/10/2022,19,26,NaN,2
4/9/2022,67,42,4,1,4/9/2022,22,29,NaN,1
4/8/2022,47,49,17,3,4/8/2022,26,35,NaN,3
4/7/2022,57,45,21,4,4/7/2022,34,30,15,3
4/6/2022,65,54,26,5,4/6/2022,75,31,13,2
4/5/2022,64,60,23,4,4/5/2022,NaN,30,11,2
4/4/2022,59,32,25,4,4/4/2022,NaN,30,NaN,NaN
4/3/2022,46,36,11,3,4/3/2022,NaN,28,NaN,NaN
4/2/2022,55,40,3,1,4/2/2022,NaN,28,NaN,NaN
4/1/2022,55,39,8,2,4/1/2022,NaN,31,NaN,NaN
3/31/2022,51,39,11,3,3/31/2022,57,28,NaN,NaN
3/30/2022,48,30,11,2,3/30/2022,34,31,28,5
3/29/2022,38,31,12,2,3/29/2022,38,23,NaN,2
3/28/2022,33,31,13,3,3/28/2022,40,28,NaN,2
3/27/2022,44,31,9,1,3/27/2022,23,28,NaN,1
3/26/2022,67,37,4,1,3/26/2022,26,27,NaN,2
3/25/2022,61,37,15,4,3/25/2022,31,26,NaN,2
3/24/2022,46,40,24,5,3/24/2022,23,26,19,3
3/23/2022,40,42,24,4,3/23/2022,17,23,10,2
3/22/2022,51,42,22,5,3/22/2022,20,24,11,1
3/21/2022,55,42,25,5,3/21/2022,25,35,8,1
3/20/2022,21,34,18,3,3/20/2022,15,36,7,1
3/19/2022,57,35,3,1,3/19/2022,47,28,5,1
3/18/2022,56,34,16,3,3/18/2022,63,30,19,3
3/17/2022,52,39,26,5,3/17/2022,66,30,NaN,3
3/16/2022,40,36,19,4,3/16/2022,55,23,NaN,3
3/15/2022,56,35,17,3,3/15/2022,46,36,NaN,2
3/14/2022,47,36,25,5,3/14/2022,44,36,NaN,3
3/13/2022,50,39,17,3,3/13/2022,42,29,NaN,3
3/12/2022,31,40,17,4,3/12/2022,33,27,NaN,2
3/11/2022,38,42,22,4,3/11/2022,47,31,14,2
3/10/2022,49,40,22,4,3/10/2022,57,30,36,4
3/9/2022,39,35,13,2,3/9/2022,27,25,29,4
3/8/2022,34,36,21,4,3/8/2022,29,16,26,3
3/7/2022,40,35,24,5,3/7/2022,54,33,7,1
3/6/2022,29,31,24,5,3/6/2022,60,30,16,2
3/5/2022,27,34,12,3,3/5/2022,53,25,20,4
3/4/2022,27,34,9,2,3/4/2022,36,25,NaN,3
3/3/2022,57,31,9,2,3/3/2022,NaN,25,14,2
3/2/2022,54,40,27,5,3/2/2022,NaN,29,NaN,NaN
3/1/2022,29,34,36,6,3/1/2022,32,30,NaN,NaN
2/28/2022,37,34,28,5,2/28/2022,32,26,29,2
2/27/2022,27,32,32,6,2/27/2022,46,29,11,1
2/26/2022,39,40,19,4,2/26/2022,46,33,12,2
2/25/2022,39,34,24,5,2/25/2022,31,28,10,2
2/24/2022,26,31,24,4,2/24/2022,29,19,NaN,2
2/23/2022,13,31,18,3,2/23/2022,44,22,NaN,1
2/22/2022,23,32,5,1,2/22/2022,56,28,NaN,2
2/21/2022,38,33,7,1,2/21/2022,49,24,NaN,5
2/20/2022,56,33,11,2,2/20/2022,32,16,NaN,3
2/19/2022,35,36,16,4,2/19/2022,35,28,NaN,2
2/18/2022,26,38,22,4,2/18/2022,36,31,NaN,2
2/17/2022,29,35,25,4,2/17/2022,35,29,NaN,1
2/16/2022,28,34,20,4,2/16/2022,35,27,NaN,2
2/15/2022,34,26,18,3,2/15/2022,46,24,NaN,3
2/14/2022,46,30,8,1,2/14/2022,48,25,NaN,2
2/13/2022,31,31,27,5,2/13/2022,33,26,NaN,2
2/12/2022,34,42,19,4,2/12/2022,39,20,6,2
2/11/2022,42,35,29,7,2/11/2022,43,27,14,2
2/10/2022,34,32,34,8,2/10/2022,40,29,30,4
2/9/2022,33,30,29,6,2/9/2022,56,26,29,4
2/8/2022,27,28,33,7,2/8/2022,49,15,26,3
2/7/2022,32,32,30,6,2/7/2022,53,26,19,3
2/6/2022,39,32,29,6,2/6/2022,32,6,32,6
2/5/2022,31,31,28,7,2/5/2022,59,25,NaN,2
2/4/2022,36,31,27,6,2/4/2022,28,26,NaN,2
2/3/2022,38,26,30,6,2/3/2022,49,21,NaN,3
2/2/2022,49,24,29,6,2/2/2022,54,4,NaN,5
